observation_date,Number of Cars Sold,Number of Cars Made,PERCENT_CHANGE_FROM_YEAR_AGO(New Cars),PERCENT_CHANGE_FROM_YEAR_AGO(Used Cars),Average Amount Financed (New),Average Amount Financed (Used),Average Finance Rate (New),Average Finance Rate (Used),Car Retail Sales (New),Car Retail Sales (Used),cpi_newcar,motorlon_sec
4/1/2008,4913667,301000,-1.23206,1.20084,23623.28,17095.87,5.74,10.63,52920000000,6758666667,134.726,798.13775
7/1/2008,4511667,342266.6667,-1.52817,-2.11933,24759.34,16963.08,5.56,10.62,48668000000,6058000000,134.646,801.67641
10/1/2008,3600000,271766.6667,-2.59555,-6.6347,24843.26,16947.01,5.62,10.33,37487000000,4815000000,134.66,777.27561
1/1/2009,2901000,132300,-1.55901,-10.33253,25088.65,15980.77,5.71,10.37,37274333333,5883000000,134.821,755.68467
4/1/2009,3195333,149900,0.26013,-10.12438,25657.32,16325.71,4.71,10.06,40983666667,5582666667,134.162,742.02088
7/1/2009,4299333,213033.3333,1.02217,-5.5191,24009.7,16605.1,5.11,10.33,44234000000,5473333333,133.496,736.77191
10/1/2009,3837333,236200,4.62778,5.92627,26547.94,17202.48,5.25,10.79,39696333333,4871333333,132.925,719.08399
1/1/2010,3670333,229200,3.5922,14.75985,25962.78,16605.03,5.02,11.5,41372000000,6002333333,132.497,717.93152
4/1/2010,3855667,235233.3333,1.83839,15.48377,25463.91,17134.24,4.64,10.69,47426000000,6003000000,132.069,708.05208
7/1/2010,3809667,226800,1.70613,14.50866,25219.03,17107.14,4.67,10.92,48055000000,6147333333,132.669,698.39493
10/1/2010,3830333,214866.6667,-0.07141,6.66174,25261.78,17430.35,4.48,10.45,46304666667,5749666667,133.415,713.49627
1/1/2011,4205333,222833.3333,1.15033,2.31734,25082.26,16634.44,4.42,11.54,48669666667,6977333333,133.866,730.08818
4/1/2011,4031333,224000,3.16777,3.75733,24718.03,17334.81,4.4,11.1,51445333333,6388666667,134.367,734.45495
7/1/2011,4000667,244033.3333,3.65487,5.34835,25191.12,17382.53,4.46,11.41,51473000000,6245666667,134.987,743.75707
10/1/2011,4347667,291366.6667,3.29749,4.95085,25492.56,17011.24,4.54,12.03,51341333333,5627333333,135.729,751.04092
1/1/2012,5140333,326566.6667,2.89251,2.72823,25430.34,16427.1,4.51,12.62,53581000000,7124666667,136.298,759.33067
4/1/2012,5005333,343766.6667,1.48379,3.03426,25003.33,16972.35,4.77,12.6,57333333333,6712000000,134.771,777.54789
7/1/2012,5054667,348500,0.96957,-0.1042,25086.7,17008.3,4.74,12.6,57527666667,6677000000,135.524,798.39971
10/1/2012,5281667,346900,1.30354,-1.9934,25842.76,17200.9,4.53,11.84,55741333333,6229000000,137.891,809.24037
1/1/2013,5581667,369833.3333,1.09206,-0.40465,25609.04,16794.59,4.8,12.6,57131666667,7827333333,139.067,821.43203
4/1/2013,5446667,368000,1.08772,-1.78078,25394.52,17278.5,4.78,12.69,63412000000,7249333333,138.928,841.20361
7/1/2013,5397667,347300,1.3103,-0.75869,25389.92,17167.7,4.43,13.24,64368000000,6908666667,138.321,866.53775
10/1/2013,5306333,365833.3333,0.81791,1.90916,25951.03,17161.96,4.69,13.17,60832000000,6246666667,138.117,878.18848
1/1/2014,5256333,353066.6667,0.22504,0.76978,26186.9,16946.11,5.01,13.62,60227000000,7679666667,137.879,891.65799
4/1/2014,5654333,343433.3333,0.36967,0.29698,25839.92,17147.02,5.03,13.49,68299333333,7752000000,137.639,917.51503
7/1/2014,5780000,364000,0.22008,-0.11313,26370.63,17654.1,4.68,13.05,68969000000,7871333333,137.482,942.62742
10/1/2014,5748667,358333.3333,0.53074,-2.94625,26755.3,17305,4.82,13.15,65574000000,7391000000,137.409,955.28956
1/1/2015,5463333,343466.6667,0.50287,-2.66899,27272.36,16760.11,5.19,14.22,65146333333,8830000000,137.484,962.36133
4/1/2015,5675000,356133.3333,0.82492,0.00671,26932.27,16963.1,5.38,14.58,72635666667,8871333333,137.782,987.55643
7/1/2015,5731000,362333.3333,0.69339,-0.80705,27697.6,17248.32,4.92,13.95,74429000000,8384333333,138.264,1016.92515
10/1/2015,5511333,325366.6667,0.32806,-1.59856,27986.15,16938,5.03,13.9,70687000000,7589666667,138.442,990.0397
1/1/2016,5320000,330766.6667,0.55364,-1.71815,28140.06,16670.42,5.25,14.44,68901666667,9502666667,138.469,1000.21618
4/1/2016,5081667,326400,-0.09189,-2.32482,28126.64,16746.94,5.04,13.88,74428000000,9034333333,138.678,1022.17357
7/1/2016,5171333,329733.3333,-0.08204,-3.14726,28667.3,17241.59,4.98,12.94,77075000000,9016333333,138.938,1051.19154
10/1/2016,5009000,308300,0.22342,-3.11419,29468.55,17520.91,4.94,12.79,74336000000,8545666667,139.725,1062.3413
1/1/2017,4606333,273833.3333,0.67494,-3.60187,29133.85,17179.99,5.1,13.34,71296666667,9859000000,140.42,1068.02245
4/1/2017,4596667,276266.6667,0.36155,-5.0117,28569.47,17077.61,5.61,13.7,76360333333,9738666667,140.878,1081.51242
