Date,CPI_new_cars,CPI_used_cars
2008-04-01,134.726,137.659
2008-05-01,134.646,136.393
2008-06-01,134.66,135.02
2008-07-01,134.821,133.709
2008-08-01,134.162,132.535
2008-09-01,133.496,131.176
2008-10-01,132.925,129.407
2008-11-01,132.497,128.048
2008-12-01,132.069,127.323
2009-01-01,132.669,126.668
2009-02-01,133.415,124.405
2009-03-01,133.866,122.21
2009-04-01,134.367,121.887
2009-05-01,134.987,122.533
2009-06-01,135.729,123.236
2009-07-01,136.298,122.844
2009-08-01,134.771,125.011
2009-09-01,135.524,127.631
2009-10-01,137.891,132.475
2009-11-01,139.067,135.73
2009-12-01,138.928,139.376
2010-01-01,138.321,142.829
2010-02-01,138.117,143.173
2010-03-01,137.879,142.377
2010-04-01,137.639,141.68
2010-05-01,137.482,140.952
2010-06-01,137.409,141.951
2010-07-01,137.484,142.512
2010-08-01,137.782,143.42
2010-09-01,138.264,144.032
2010-10-01,138.442,144.313
2010-11-01,138.469,144.751
2010-12-01,138.678,145.669
2011-01-01,138.938,146.478
2011-02-01,139.725,146.182
2011-03-01,140.42,145.646
2011-04-01,140.878,145.542
2011-05-01,142.014,146.476
2011-06-01,142.706,148.518
2011-07-01,142.856,149.971
2011-08-01,142.848,151.312
2011-09-01,142.94,151.677
2011-10-01,143.095,151.986
2011-11-01,143.035,152.187
2011-12-01,143.163,152.083
2012-01-01,143.466,151.106
2012-02-01,143.838,149.893
2012-03-01,143.901,149.265
2012-04-01,143.898,150.053
2012-05-01,143.942,151.587
2012-06-01,144.073,152.263
2012-07-01,144.13,151.97
2012-08-01,144.311,150.871
2012-09-01,144.359,149.647
2012-10-01,144.547,148.986
2012-11-01,145.024,148.932
2012-12-01,145.318,149.243
2013-01-01,145.533,149.741
2013-02-01,145.121,149.789
2013-03-01,145.26,148.912
2013-04-01,145.378,148.577
2013-05-01,145.379,148.501
2013-06-01,145.854,148.742
2013-07-01,146.024,149.058
2013-08-01,146.066,149.539
2013-09-01,146.381,150.458
2013-10-01,146.233,151.248
2013-11-01,146.171,151.993
