DATE,PERCENT_CHANGE_FROM_YEAR_AGO
2008-04-01,1.20084
2008-07-01,-2.11933
2008-10-01,-6.63470
2009-01-01,-10.33253
2009-04-01,-10.12438
2009-07-01,-5.51910
2009-10-01,5.92627
2010-01-01,14.75985
2010-04-01,15.48377
2010-07-01,14.50866
2010-10-01,6.66174
2011-01-01,2.31734
2011-04-01,3.75733
2011-07-01,5.34835
2011-10-01,4.95085
2012-01-01,2.72823
2012-04-01,3.03426
2012-07-01,-0.10420
2012-10-01,-1.99340
2013-01-01,-0.40465
2013-04-01,-1.78078
2013-07-01,-0.75869
2013-10-01,1.90916
2014-01-01,0.76978
2014-04-01,0.29698
2014-07-01,-0.11313
2014-10-01,-2.94625
2015-01-01,-2.66899
2015-04-01,0.00671
2015-07-01,-0.80705
2015-10-01,-1.59856
2016-01-01,-1.71815
2016-04-01,-2.32482
2016-07-01,-3.14726
2016-10-01,-3.11419
2017-01-01,-3.60187
2017-04-01,-5.01170
2017-07-01,-5.13873
2017-10-01,-1.76972
2018-01-01,-0.31005
2018-04-01,-0.12702
2018-07-01,0.93963
2018-10-01,0.96647
2019-01-01,1.12779
2019-04-01,0.74331
2019-07-01,1.94755
2019-10-01,0.18843
2020-01-01,-0.97215
2020-04-01,-1.36355
2020-07-01,4.29019
2020-10-01,10.99771
2021-01-01,9.65133
2021-04-01,31.76863
2021-07-01,32.11140
2021-10-01,31.92884
2022-01-01,39.12742
2022-04-01,14.75663
2022-07-01,7.04461
2022-10-01,-3.35331
2023-01-01,-12.12838
2023-04-01,-5.30469
