DATE,DTCTLVENANQ
2008-01-01,25041.08
2008-04-01,23623.28
2008-07-01,24759.34
2008-10-01,24843.26
2009-01-01,25088.65
2009-04-01,25657.32
2009-07-01,24009.70
2009-10-01,26547.94
2010-01-01,25962.78
2010-04-01,25463.91
2010-07-01,25219.03
2010-10-01,25261.78
2011-01-01,25082.26
2011-04-01,24718.03
2011-07-01,25191.12
2011-10-01,25492.56
2012-01-01,25430.34
2012-04-01,25003.33
2012-07-01,25086.70
2012-10-01,25842.76
2013-01-01,25609.04
2013-04-01,25394.52
2013-07-01,25389.92
2013-10-01,25951.03
2014-01-01,26186.90
2014-04-01,25839.92
2014-07-01,26370.63
2014-10-01,26755.30
2015-01-01,27272.36
2015-04-01,26932.27
2015-07-01,27697.60
2015-10-01,27986.15
2016-01-01,28140.06
2016-04-01,28126.64
2016-07-01,28667.30
2016-10-01,29468.55
2017-01-01,29133.85
2017-04-01,28569.47
2017-07-01,29153.73
2017-10-01,30294.94
2018-01-01,30471.66
2018-04-01,29805.2
2018-07-01,29921.27
2018-10-01,30493.73
2019-01-01,30865.42
2019-04-01,31170.6
2019-07-01,31514.06
2019-10-01,31692.14
2020-01-01,32723.94
2020-04-01,36674.9
2020-07-01,34660.26
2020-10-01,33738.23
2021-01-01,34207.35
2021-04-01,33914.94
2021-07-01,35283.89
2021-10-01,37820.76
2022-01-01,37991.37
2022-04-01,38044.46
2022-07-01,40155.68
2022-10-01,39407.02
2023-01-01,39066.36
2023-04-01,38689.2
