observation_date,Number of Cars Sold,Number of Cars Made,PERCENT_CHANGE_FROM_YEAR_AGO(New Cars),PERCENT_CHANGE_FROM_YEAR_AGO(Used Cars),Average Amount Financed (New),Average Amount Financed (Used),Average Finance Rate (New),Average Finance Rate (Used),Car Retail Sales (New),Car Retail Sales (Used),cpi_newcar,motorlon_sec
2008-04-01,4913667,301000,-1.23206,1.20084,23623.28,17095.87,5.74,10.63,52920,6758.666667,134.677,798.13775
2008-07-01,4511667,342266.6667,-1.52817,-2.11933,24759.34,16963.08,5.56,10.62,48668,6058,134.160,801.67641
2008-10-01,3600000,271766.6667,-2.59555,-6.6347,24843.26,16947.01,5.62,10.33,37487,4815,132.497,777.27561
2009-01-01,2901000,132300,-1.55901,-10.33253,25088.65,15980.77,5.71,10.37,37274.33333,5883,133.317,755.68467
2009-04-01,3195333,149900,0.26013,-10.12438,25657.32,16325.71,4.71,10.06,40983.66667,5582.666667,135.028,742.02088
2009-07-01,4299333,213033.3333,1.02217,-5.5191,24009.7,16605.1,5.11,10.33,44234,5473.333333,135.531,736.77191
2009-10-01,3837333,236200,4.62778,5.92627,26547.94,17202.48,5.25,10.79,39696.33333,4871.333333,138.629,719.08399
2010-01-01,3670333,229200,3.5922,14.75985,25962.78,16605.03,5.02,11.5,41372,6002.333333,138.106,717.93152
2010-04-01,3855667,235233.3333,1.83839,15.48377,25463.91,17134.24,4.64,10.69,47426,6003,137.510,708.05208
2010-07-01,3809667,226800,1.70613,14.50866,25219.03,17107.14,4.67,10.92,48055,6147.333333,137.843,698.39493
2010-10-01,3830333,214866.6667,-0.07141,6.66174,25261.78,17430.35,4.48,10.45,46304.66667,5749.666667,138.530,713.49627
2011-01-01,4205333,222833.3333,1.15033,2.31734,25082.26,16634.44,4.42,11.54,48669.66667,6977.333333,139.694,730.08818
2011-04-01,4031333,224000,3.16777,3.75733,24718.03,17334.81,4.4,11.1,51445.33333,6388.666667,141.866,734.45495
