observation_date,Number of Cars Sold,Number of Cars Made,Loan_Owned_by_Financial_Companies,MVL_Owned_Securitized,Avg_Fin_Rate_48,Avg_Fin_Rate_60,Median_CPI
4/1/2008,4913667,301000.00,260852.32,798.14,6.9,6.92,2.92
7/1/2008,4511667,342266.67,259759.63,801.68,6.92,6.94,3.37
10/1/2008,3600000,271766.67,250770.31,777.28,7.06,7.12,1.5
1/1/2009,2901000,132300.00,233774.93,755.68,6.92,6.96,2.15
4/1/2009,3195333,149900.00,226383.24,742.02,6.79,6.93,1.3
7/1/2009,4299333,213033.33,220897.15,736.77,6.61,6.71,0.89
10/1/2009,3837333,236200.00,215855.58,719.08,6.55,6.59,0.72
1/1/2010,3670333,229200.00,233320.73,717.93,6.45,6.45,0.1
4/1/2010,3855667,235233.33,254984.56,708.05,6.26,6.38,0.66
7/1/2010,3809667,226800.00,248571.78,698.39,6.24,6.23,0.87
10/1/2010,3830333,214866.67,254414.69,713.50,5.87,6.05,1.28
1/1/2011,4205333,222833.33,275792.48,730.09,5.85,6.1,2.28
4/1/2011,4031333,224000.00,270199.82,734.45,5.79,5.83,2.16
7/1/2011,4000667,244033.33,272608.41,743.76,5.89,5.62,2.74
10/1/2011,4347667,291366.67,275368.40,751.04,5.4,5.25,2.08
1/1/2012,5140333,326566.67,278705.76,759.33,5.07,5.02,2.43
4/1/2012,5005333,343766.67,284385.49,777.55,4.88,4.87,1.98
7/1/2012,5054667,348500.00,292619.47,798.40,4.88,4.75,2.26
10/1/2012,5281667,346900.00,296963.11,809.24,4.82,4.64,1.91
1/1/2013,5581667,369833.33,300039.49,821.43,4.69,4.6,2.14
4/1/2013,5446667,368000.00,303916.72,841.20,4.13,4.34,2.06
7/1/2013,5397667,347300.00,309669.43,866.54,4.46,4.38,2.13
10/1/2013,5306333,365833.33,313369.41,878.19,4.42,4.52,2.2
1/1/2014,5256333,353066.67,313928.26,891.66,4.23,4.37,2.54
4/1/2014,5654333,343433.33,317055.08,917.52,4.5,4.46,2.02
7/1/2014,5780000,364000.00,322959.69,942.63,4.16,4.11,2.03
10/1/2014,5748667,358333.33,326017.19,955.29,4.06,4.07,2.36
1/1/2015,5463333,343466.67,327444.63,962.36,4.53,4.27,2.11
4/1/2015,5675000,356133.33,332557.73,987.56,4.15,4.21,2.81
7/1/2015,5731000,362333.33,339587.98,1016.93,4.09,4.25,2.19
10/1/2015,5511333,325366.67,329211.20,990.04,4,4.05,2.13
1/1/2016,5320000,330766.67,300160.06,1000.22,4.17,4.11,2.49
4/1/2016,5081667,326400.00,298064.12,1022.17,4.33,4.15,3.07
7/1/2016,5171333,329733.33,303138.40,1051.19,4.25,4.25,2.58
10/1/2016,5009000,308300.00,306126.52,1062.34,4.45,4.05,2.17
1/1/2017,4606333,273833.33,303951.29,1068.02,4.52,4.21,2.88
4/1/2017,4596667,276266.67,302771.45,1081.51,4.67,4.24,1.85
7/1/2017,4632000,230033.33,303228.36,1093.96,4.42,4.36,2.42
10/1/2017,4537000,222600.00,304452.55,1101.99,4.81,4.51,2.6
1/1/2018,4113000,241133.33,303914.09,1105.02,4.74,4.75,2.72
4/1/2018,4075000,236200.00,304162.45,1115.61,5.05,4.99,2.85
7/1/2018,4012667,211366.67,307618.07,1131.41,5.05,4.96,2.25
10/1/2018,4146667,239633.33,310215.69,1139.61,5.29,5.36,3.08
1/1/2019,3797333,220666.67,312378.54,1144.17,5.5,5.24,3.15
4/1/2019,3572667,210266.67,315522.35,1159.95,5.35,5.36,2.88
7/1/2019,3465000,205333.33,318418.10,1175.44,5.27,5.27,2.69
10/1/2019,3341000,199600.00,320235.26,1184.14,5.45,5.37,2.86
1/1/2020,2873667,194266.67,319653.02,1183.91,5.29,5.15,2.96
4/1/2020,1791333,63733.33,326699.37,1197.43,5.13,5.14,2.18
7/1/2020,2725667,197900.00,343869.07,1218.45,4.98,4.98,2.33
10/1/2020,2848667,178300.00,349788.40,1224.45,4.95,4.8,1.56
1/1/2021,2586000,150566.67,356372.64,1240.75,5.21,4.96,2.23
4/1/2021,2713000,128966.67,390595.75,1353.13,5.28,5.05,3.08
7/1/2021,2174667,113666.67,445713.39,1378.86,5.14,4.6,4.22
10/1/2021,2029000,132366.67,448047.32,1392.70,4.58,4.67,6.51
1/1/2022,2050000,132266.67,449190.30,1410.55,4.87,4.52,6.62
4/1/2022,1982667,141600.00,446933.52,1445.20,5.15,4.85,7.15
7/1/2022,1996667,149000.00,449503.27,1476.91,5.52,5.5,7.76
10/1/2022,2144333,141666.67,459331.37,1499.49,6.94,6.55,6.44
1/1/2023,2149000,147400.00,469482.80,1516.36,7.46,7.48,6.98
4/1/2023,2332333,147166.67,484466.87,1535.21,7.59,7.81,4.64
