DATE,MILLIONS_OF_DOLLARS
2008-04-01,52920.000000000000
2008-07-01,48668.000000000000
2008-10-01,37487.000000000000
2009-01-01,37274.333333333333
2009-04-01,40983.666666666667
2009-07-01,44234.000000000000
2009-10-01,39696.333333333333
2010-01-01,41372.000000000000
2010-04-01,47426.000000000000
2010-07-01,48055.000000000000
2010-10-01,46304.666666666667
2011-01-01,48669.666666666667
2011-04-01,51445.333333333333
2011-07-01,51473.000000000000
2011-10-01,51341.333333333333
2012-01-01,53581.000000000000
2012-04-01,57333.333333333333
2012-07-01,57527.666666666667
2012-10-01,55741.333333333333
2013-01-01,57131.666666666667
2013-04-01,63412.000000000000
2013-07-01,64368.000000000000
2013-10-01,60832.000000000000
2014-01-01,60227.000000000000
2014-04-01,68299.333333333333
2014-07-01,68969.000000000000
2014-10-01,65574.000000000000
2015-01-01,65146.333333333333
2015-04-01,72635.666666666667
2015-07-01,74429.000000000000
2015-10-01,70687.000000000000
2016-01-01,68901.666666666667
2016-04-01,74428.000000000000
2016-07-01,77075.000000000000
2016-10-01,74336.000000000000
2017-01-01,71296.666666666667
2017-04-01,76360.333333333333
2017-07-01,78284.000000000000
2017-10-01,76221.333333333333
2018-01-01,72794.666666666667
2018-04-01,78412.333333333333
2018-07-01,78013.333333333333
2018-10-01,76888.666666666667
2019-01-01,72564.666666666667
2019-04-01,79825.333333333333
2019-07-01,82151.333333333333
2019-10-01,79580.333333333333
2020-01-01,67281.666666666667
2020-04-01,67910.666666666667
2020-07-01,82953.000000000000
2020-10-01,83644.333333333333
2021-01-01,85548.000000000000
2021-04-01,100867.666666666667
2021-07-01,91064.333333333333
2021-10-01,88734.666666666667
2022-01-01,91048.333333333333
2022-04-01,97307.000000000000
2022-07-01,94596.333333333333
2022-10-01,92916.333333333333
2023-01-01,93448.000000000000
2023-04-01,101702.333333333333
