DATE,CUSR0000SETA01
2008-04-01,134.726
2008-05-01,134.646
2008-06-01,134.660
2008-07-01,134.821
2008-08-01,134.162
2008-09-01,133.496
2008-10-01,132.925
2008-11-01,132.497
2008-12-01,132.069
2009-01-01,132.669
2009-02-01,133.415
2009-03-01,133.866
2009-04-01,134.367
2009-05-01,134.987
2009-06-01,135.729
2009-07-01,136.298
2009-08-01,134.771
2009-09-01,135.524
2009-10-01,137.891
2009-11-01,139.067
2009-12-01,138.928
2010-01-01,138.321
2010-02-01,138.117
2010-03-01,137.879
2010-04-01,137.639
2010-05-01,137.482
2010-06-01,137.409
2010-07-01,137.484
2010-08-01,137.782
2010-09-01,138.264
2010-10-01,138.442
2010-11-01,138.469
2010-12-01,138.678
2011-01-01,138.938
2011-02-01,139.725
2011-03-01,140.420
2011-04-01,140.878
2011-05-01,142.014
2011-06-01,142.706
2011-07-01,142.856
2011-08-01,142.848
2011-09-01,142.940
2011-10-01,143.095
2011-11-01,143.035
2011-12-01,143.163
2012-01-01,143.466
2012-02-01,143.838
2012-03-01,143.901
2012-04-01,143.898
2012-05-01,143.942
2012-06-01,144.073
2012-07-01,144.130
2012-08-01,144.311
2012-09-01,144.359
2012-10-01,144.547
2012-11-01,145.024
2012-12-01,145.318
2013-01-01,145.533
2013-02-01,145.121
2013-03-01,145.260
2013-04-01,145.378
2013-05-01,145.379
2013-06-01,145.854
2013-07-01,146.024
2013-08-01,146.066
2013-09-01,146.381
2013-10-01,146.233
2013-11-01,146.171
2013-12-01,146.042
2014-01-01,145.624
2014-02-01,145.625
2014-03-01,145.646
2014-04-01,145.986
2014-05-01,146.140
2014-06-01,146.099
2014-07-01,146.255
2014-08-01,146.464
2014-09-01,146.717
2014-10-01,146.928
2014-11-01,146.959
2014-12-01,146.886
2015-01-01,146.104
2015-02-01,146.316
2015-03-01,146.672
2015-04-01,147.024
2015-05-01,147.327
2015-06-01,147.489
2015-07-01,147.462
2015-08-01,147.410
2015-09-01,147.611
2015-10-01,147.481
2015-11-01,147.466
2015-12-01,147.272
2016-01-01,146.706
2016-02-01,147.374
2016-03-01,147.443
2016-04-01,147.213
2016-05-01,147.175
2016-06-01,147.046
2016-07-01,147.303
2016-08-01,147.335
2016-09-01,147.482
2016-10-01,147.784
2016-11-01,147.737
2016-12-01,147.686
2017-01-01,148.166
2017-02-01,148.284
2017-03-01,148.053
2017-04-01,148.147
2017-05-01,147.786
2017-06-01,147.097
2017-07-01,146.198
2017-08-01,146.097
2017-09-01,145.747
2017-10-01,145.474
2017-11-01,145.901
2017-12-01,146.790
2018-01-01,147.787
2018-02-01,147.386
2018-03-01,147.475
2018-04-01,145.964
2018-05-01,145.786
2018-06-01,145.769
2018-07-01,145.466
2018-08-01,145.491
2018-09-01,145.434
2018-10-01,145.457
2018-11-01,146.183
2018-12-01,147.281
2019-01-01,147.849
2019-02-01,147.822
2019-03-01,148.516
2019-04-01,147.788
2019-05-01,147.071
2019-06-01,146.577
2019-07-01,145.984
2019-08-01,145.807
2019-09-01,145.589
2019-10-01,145.582
2019-11-01,146.103
2019-12-01,147.349
2020-01-01,148.042
2020-02-01,148.403
2020-03-01,147.850
2020-04-01,146.959
2020-05-01,146.637
2020-06-01,146.271
2020-07-01,146.746
2020-08-01,146.759
2020-09-01,147.093
2020-10-01,147.810
2020-11-01,148.445
2020-12-01,150.242
2021-01-01,150.177
2021-02-01,150.121
2021-03-01,150.058
2021-04-01,149.843
2021-05-01,151.538
2021-06-01,153.966
2021-07-01,156.079
2021-08-01,157.949
2021-09-01,159.953
2021-10-01,162.366
2021-11-01,164.935
2021-12-01,167.939
2022-01-01,168.480
2022-02-01,168.709
2022-03-01,168.885
2022-04-01,169.643
2022-05-01,170.669
2022-06-01,171.565
2022-07-01,172.377
2022-08-01,173.824
2022-09-01,174.994
2022-10-01,175.981
2022-11-01,176.805
2022-12-01,177.825
2023-01-01,178.226
2023-02-01,178.538
2023-03-01,179.222
2023-04-01,178.833
2023-05-01,178.616
2023-06-01,178.556
2023-07-01,178.411
2023-08-01,178.895
2023-09-01,179.424
